domain,report_type,variable,data_policy_licence,quality_flag,year,month,count
marine,0,36,0,0,1966,02, 888195
marine,0,36,0,0,1966,03, 995120
marine,0,36,0,0,1966,04, 950034
marine,0,36,0,0,1966,05, 992843
marine,0,36,0,0,1966,06, 952579
marine,0,36,0,0,1966,07, 991827
marine,0,36,0,0,1966,08, 1026918
marine,0,36,0,0,1966,09, 972408
marine,0,36,0,0,1966,10, 978787
marine,0,36,0,0,1966,11, 939313
marine,0,36,0,0,1966,12, 926115
marine,0,36,0,0,1967,01, 975062
marine,0,36,0,0,1967,02, 950493
marine,0,36,0,0,1967,03, 1042314
marine,0,36,0,0,1967,04, 1018853
marine,0,36,0,0,1967,05, 1041364
marine,0,36,0,0,1967,06, 1043825
marine,0,36,0,0,1967,07, 1091258
marine,0,36,0,0,1967,08, 1080755
marine,0,36,0,0,1967,09, 1067799
marine,0,36,0,0,1967,10, 1091970
marine,0,36,0,0,1967,11, 1021610
marine,0,36,0,0,1967,12, 992883
marine,0,36,0,0,1968,01, 998937
marine,0,36,0,0,1968,02, 1024639
marine,0,36,0,0,1968,03, 1097717
marine,0,36,0,0,1968,04, 1052054
marine,0,36,0,0,1968,05, 1108918
marine,0,36,0,0,1968,06, 1052239
marine,0,36,0,0,1968,07, 1101604
marine,0,36,0,0,1968,08, 1085990
marine,0,36,0,0,1968,09, 1080005
marine,0,36,0,0,1968,10, 1102216
marine,0,36,0,0,1968,11, 1064341
marine,0,36,0,0,1968,12, 1040244
marine,0,36,0,0,1969,01, 1025468
marine,0,36,0,0,1969,02, 976060
marine,0,36,0,0,1969,03, 1081080
marine,0,36,0,0,1969,04, 1065485
marine,0,36,0,0,1969,05, 1073267
marine,0,36,0,0,1969,06, 1080659
marine,0,36,0,0,1969,07, 1120723
marine,0,36,0,0,1969,08, 1143334
marine,0,36,0,0,1969,09, 1094282
marine,0,36,0,0,1969,10, 1120006
marine,0,36,0,0,1969,11, 1098702
marine,0,36,0,0,1969,12, 1026309
marine,0,36,0,0,1970,01, 850788
marine,0,36,0,0,1970,02, 791133
marine,0,36,0,0,1970,03, 841735
marine,0,36,0,0,1970,04, 819040
marine,0,36,0,0,1970,05, 868820
marine,0,36,0,0,1970,06, 853679
marine,0,36,0,0,1970,07, 837814
marine,0,36,0,0,1970,08, 827979
marine,0,36,0,0,1970,09, 799506
marine,0,36,0,0,1970,10, 791687
marine,0,36,0,0,1970,11, 775524
marine,0,36,0,0,1970,12, 774162
marine,0,36,0,0,1971,01, 898404
marine,0,36,0,0,1971,02, 884071
marine,0,36,0,0,1971,03, 939813
marine,0,36,0,0,1971,04, 887773
marine,0,36,0,0,1971,05, 939830
marine,0,36,0,0,1971,06, 918304
marine,0,36,0,0,1971,07, 874037
marine,0,36,0,0,1971,08, 722337
marine,0,36,0,0,1971,09, 693236
marine,0,36,0,0,1971,10, 705313
marine,0,36,0,0,1971,11, 679366
marine,0,36,0,0,1971,12, 699078
marine,0,36,0,0,1972,01, 725689
marine,0,36,0,0,1972,02, 700294
marine,0,36,0,0,1972,03, 758275
marine,0,36,0,0,1972,04, 747150
marine,0,36,0,0,1972,05, 767630
marine,0,36,0,0,1972,06, 733168
