domain,report_type,variable,data_policy_licence,quality_flag,year,month,count
land,0,36,0,0,1805,06,     0
land,0,36,0,0,1805,07,     0
land,0,36,0,0,1805,08,     0
land,0,36,0,0,1805,09,     0
land,0,36,0,0,1805,10,     0
land,0,36,0,0,1805,11,     0
land,0,36,0,0,1805,12,     0
land,0,36,0,0,1806,01,     0
land,0,36,0,0,1806,02,     0
land,0,36,0,0,1806,03,     0
land,0,36,0,0,1806,04,     0
land,0,36,0,0,1806,05,     0
land,0,36,0,0,1806,06,     0
land,0,36,0,0,1806,07,     0
land,0,36,0,0,1806,08,     0
land,0,36,0,0,1806,09,     0
land,0,36,0,0,1806,10,     0
land,0,36,0,0,1806,11,     0
land,0,36,0,0,1806,12,     0
land,0,36,0,0,1807,01,     0
land,0,36,0,0,1807,02,     0
land,0,36,0,0,1807,03,     0
land,0,36,0,0,1807,04,     0
land,0,36,0,0,1807,05,     0
land,0,36,0,0,1807,06,     0
land,0,36,0,0,1807,07,     0
land,0,36,0,0,1807,08,     0
land,0,36,0,0,1807,09,     0
land,0,36,0,0,1807,10,     0
land,0,36,0,0,1807,11,     0
land,0,36,0,0,1807,12,     0
land,0,36,0,0,1808,01,     0
land,0,36,0,0,1808,02,     0
land,0,36,0,0,1808,03,     0
land,0,36,0,0,1808,04,     0
land,0,36,0,0,1808,05,     0
land,0,36,0,0,1808,06,     0
land,0,36,0,0,1808,07,     0
land,0,36,0,0,1808,08,     0
land,0,36,0,0,1808,09,     0
land,0,36,0,0,1808,10,     0
land,0,36,0,0,1808,11,     0
land,0,36,0,0,1808,12,     0
land,0,36,0,0,1809,01,     0
land,0,36,0,0,1809,02,     0
land,0,36,0,0,1809,03,     0
land,0,36,0,0,1809,04,     0
land,0,36,0,0,1809,05,     0
land,0,36,0,0,1809,06,     0
land,0,36,0,0,1809,07,     0
land,0,36,0,0,1809,08,     0
land,0,36,0,0,1809,09,     0
land,0,36,0,0,1809,10,     0
land,0,36,0,0,1809,11,     0
land,0,36,0,0,1809,12,     0
land,0,36,0,0,1810,01,     0
land,0,36,0,0,1810,02,     0
land,0,36,0,0,1810,03,     0
land,0,36,0,0,1810,04,     0
land,0,36,0,0,1810,05,     0
land,0,36,0,0,1810,06,     0
land,0,36,0,0,1810,07,     0
land,0,36,0,0,1810,08,     0
land,0,36,0,0,1810,09,     0
land,0,36,0,0,1810,10,     0
land,0,36,0,0,1810,11,     0
land,0,36,0,0,1810,12,     0
land,0,36,0,0,1811,01,     0
land,0,36,0,0,1811,02,     0
land,0,36,0,0,1811,03,     0
land,0,36,0,0,1811,04,     0
land,0,36,0,0,1811,05,     0
land,0,36,0,0,1811,06,     0
land,0,36,0,0,1811,07,     0
land,0,36,0,0,1811,08,     0
land,0,36,0,0,1811,09,     0
land,0,36,0,0,1811,10,     0
land,0,36,0,0,1811,11,     0
land,0,36,0,0,1811,12,     0
land,0,36,0,0,1812,01,     0
land,0,36,0,0,1812,02,     0
land,0,36,0,0,1812,03,     0
land,0,36,0,0,1812,04,     0
land,0,36,0,0,1812,05,     0
land,0,36,0,0,1812,06,     0
land,0,36,0,0,1812,07,     0
land,0,36,0,0,1812,08,     0
land,0,36,0,0,1812,09,     0
land,0,36,0,0,1812,10,     0
land,0,36,0,0,1812,11,     0
land,0,36,0,0,1812,12,     0
land,0,36,0,0,1813,01,     0
land,0,36,0,0,1813,02,     0
land,0,36,0,0,1813,03,     0
land,0,36,0,0,1813,04,     0
land,0,36,0,0,1813,05,     0
land,0,36,0,0,1813,06,     0
land,0,36,0,0,1813,07,     0
land,0,36,0,0,1813,08,     0
land,0,36,0,0,1813,09,     0
land,0,36,0,0,1813,10,     0
land,0,36,0,0,1813,11,     0
land,0,36,0,0,1813,12,     0
land,0,36,0,0,1814,01,     0
land,0,36,0,0,1814,02,     0
land,0,36,0,0,1814,03,     0
land,0,36,0,0,1814,04,     0
land,0,36,0,0,1814,05,     0
land,0,36,0,0,1814,06,     0
land,0,36,0,0,1814,07,     0
land,0,36,0,0,1814,08,     0
land,0,36,0,0,1814,09,     0
land,0,36,0,0,1814,10,     0
land,0,36,0,0,1814,11,     0
land,0,36,0,0,1814,12,     0
land,0,36,0,0,1815,01,     0
land,0,36,0,0,1815,02,     0
land,0,36,0,0,1815,03,     0
land,0,36,0,0,1815,04,     0
land,0,36,0,0,1815,05,     0
land,0,36,0,0,1815,06,     0
land,0,36,0,0,1815,07,     0
land,0,36,0,0,1815,08,     0
land,0,36,0,0,1815,09,     0
land,0,36,0,0,1815,10,     0
land,0,36,0,0,1815,11,     0
land,0,36,0,0,1815,12,     0
land,0,36,0,0,1816,01,     0
land,0,36,0,0,1816,02,     0
land,0,36,0,0,1816,03,     0
land,0,36,0,0,1816,04,     0
land,0,36,0,0,1816,05,     0
land,0,36,0,0,1816,06,     0
land,0,36,0,0,1816,07,     0
land,0,36,0,0,1816,08,     0
land,0,36,0,0,1816,09,     0
land,0,36,0,0,1816,10,     0
land,0,36,0,0,1816,11,     0
land,0,36,0,0,1816,12,     0
land,0,36,0,0,1817,01,     0
land,0,36,0,0,1817,02,     0
land,0,36,0,0,1817,03,     0
land,0,36,0,0,1817,04,     0
land,0,36,0,0,1817,05,     0
land,0,36,0,0,1817,06,     0
land,0,36,0,0,1817,07,     0
land,0,36,0,0,1817,08,     0
land,0,36,0,0,1817,09,     0
land,0,36,0,0,1817,10,     0
land,0,36,0,0,1817,11,     0
land,0,36,0,0,1817,12,     0
land,0,36,0,0,1818,01,     0
land,0,36,0,0,1818,02,     0
land,0,36,0,0,1818,03,     0
land,0,36,0,0,1818,04,     0
land,0,36,0,0,1818,05,     0
land,0,36,0,0,1818,06,     0
land,0,36,0,0,1818,07,     0
land,0,36,0,0,1818,08,     0
land,0,36,0,0,1818,09,     0
land,0,36,0,0,1818,10,     0
land,0,36,0,0,1818,11,     0
land,0,36,0,0,1818,12,     0
land,0,36,0,0,1819,01,     0
land,0,36,0,0,1819,02,     0
land,0,36,0,0,1819,03,     0
land,0,36,0,0,1819,04,     0
land,0,36,0,0,1819,05,     0
land,0,36,0,0,1819,06,     0
land,0,36,0,0,1819,07,     0
land,0,36,0,0,1819,08,     0
land,0,36,0,0,1819,09,     0
land,0,36,0,0,1819,10,     0
land,0,36,0,0,1819,11,     0
land,0,36,0,0,1819,12,     0
land,0,36,0,0,1820,01,     0
land,0,36,0,0,1820,02,     0
land,0,36,0,0,1820,03,     0
land,0,36,0,0,1820,04,     0
land,0,36,0,0,1820,05,     0
land,0,36,0,0,1820,06,     0
land,0,36,0,0,1820,07,     0
land,0,36,0,0,1820,08,     0
land,0,36,0,0,1820,09,     0
land,0,36,0,0,1820,10,     0
land,0,36,0,0,1820,11,     0
land,0,36,0,0,1820,12,     0
land,0,36,0,0,1821,01,     0
land,0,36,0,0,1821,02,     0
land,0,36,0,0,1821,03,     0
land,0,36,0,0,1821,04,     0
land,0,36,0,0,1821,05,     0
land,0,36,0,0,1821,06,     0
land,0,36,0,0,1821,07,     0
land,0,36,0,0,1821,08,     0
land,0,36,0,0,1821,09,     0
land,0,36,0,0,1821,10,     0
land,0,36,0,0,1821,11,     0
land,0,36,0,0,1821,12,     0
land,0,36,0,0,1822,01,     0
land,0,36,0,0,1822,02,     0
land,0,36,0,0,1822,03,     0
land,0,36,0,0,1822,04,     0
land,0,36,0,0,1822,05,     0
land,0,36,0,0,1822,06,     0
land,0,36,0,0,1822,07,     0
land,0,36,0,0,1822,08,     0
land,0,36,0,0,1822,09,     0
land,0,36,0,0,1822,10,     0
land,0,36,0,0,1822,11,     0
land,0,36,0,0,1822,12,     0
land,0,36,0,0,1823,01,     0
land,0,36,0,0,1823,02,     0
land,0,36,0,0,1823,03,     0
land,0,36,0,0,1823,04,     0
land,0,36,0,0,1823,05,     0
land,0,36,0,0,1823,06,     0
land,0,36,0,0,1823,07,     0
land,0,36,0,0,1823,08,     0
land,0,36,0,0,1823,09,     0
land,0,36,0,0,1823,10,     0
land,0,36,0,0,1823,11,     0
land,0,36,0,0,1823,12,     0
land,0,36,0,0,1824,01,     0
land,0,36,0,0,1824,02,     0
land,0,36,0,0,1824,03,     0
land,0,36,0,0,1824,04,     0
land,0,36,0,0,1824,05,     0
land,0,36,0,0,1824,06,     0
land,0,36,0,0,1824,07,     0
land,0,36,0,0,1824,08,     0
land,0,36,0,0,1824,09,     0
land,0,36,0,0,1824,10,     0
land,0,36,0,0,1824,11,     0
land,0,36,0,0,1824,12,     0
land,0,36,0,0,1825,01,     0
land,0,36,0,0,1825,02,     0
land,0,36,0,0,1825,03,     0
land,0,36,0,0,1825,04,     0
