path_prefix|batch_id|of_n_batches|batch_length
daily/CDM_lite_FirstRelease_ASN00079*|daily-CDM_lite_FirstRelease_ASN00079|5489|10
daily/CDM_lite_FirstRelease_ASN00080*|daily-CDM_lite_FirstRelease_ASN00080|5489|10
daily/CDM_lite_FirstRelease_ASN00081*|daily-CDM_lite_FirstRelease_ASN00081|5489|11
daily/CDM_lite_FirstRelease_ASN00082*|daily-CDM_lite_FirstRelease_ASN00082|5489|20
daily/CDM_lite_FirstRelease_ASN00083*|daily-CDM_lite_FirstRelease_ASN00083|5489|15
daily/CDM_lite_FirstRelease_ASN00084*|daily-CDM_lite_FirstRelease_ASN00084|5489|16
daily/CDM_lite_FirstRelease_ASN00085*|daily-CDM_lite_FirstRelease_ASN00085|5489|26
daily/CDM_lite_FirstRelease_ASN00086*|daily-CDM_lite_FirstRelease_ASN00086|5489|36
daily/CDM_lite_FirstRelease_ASN00087*|daily-CDM_lite_FirstRelease_ASN00087|5489|17
daily/CDM_lite_FirstRelease_ASN00088*|daily-CDM_lite_FirstRelease_ASN00088|5489|20
daily/CDM_lite_FirstRelease_ASN00089*|daily-CDM_lite_FirstRelease_ASN00089|5489|9
daily/CDM_lite_FirstRelease_ASN00090*|daily-CDM_lite_FirstRelease_ASN00090|5489|29
daily/CDM_lite_FirstRelease_ASN00091*|daily-CDM_lite_FirstRelease_ASN00091|5489|47
daily/CDM_lite_FirstRelease_ASN00092*|daily-CDM_lite_FirstRelease_ASN00092|5489|18
daily/CDM_lite_FirstRelease_ASN00093*|daily-CDM_lite_FirstRelease_ASN00093|5489|6
daily/CDM_lite_FirstRelease_ASN00094*|daily-CDM_lite_FirstRelease_ASN00094|5489|26
daily/CDM_lite_FirstRelease_ASN00095*|daily-CDM_lite_FirstRelease_ASN00095|5489|9
daily/CDM_lite_FirstRelease_ASN00096*|daily-CDM_lite_FirstRelease_ASN00096|5489|11
daily/CDM_lite_FirstRelease_ASN00097*|daily-CDM_lite_FirstRelease_ASN00097|5489|21
daily/CDM_lite_FirstRelease_ASN00098*|daily-CDM_lite_FirstRelease_ASN00098|5489|2
daily/CDM_lite_FirstRelease_ASN00099*|daily-CDM_lite_FirstRelease_ASN00099|5489|4
daily/CDM_lite_FirstRelease_AUM00011*|daily-CDM_lite_FirstRelease_AUM00011|5489|6
daily/CDM_lite_FirstRelease_AUW00034*|daily-CDM_lite_FirstRelease_AUW00034|5489|1
daily/CDM_lite_FirstRelease_AYM00088*|daily-CDM_lite_FirstRelease_AYM00088|5489|2
daily/CDM_lite_FirstRelease_AYM00089*|daily-CDM_lite_FirstRelease_AYM00089|5489|32
daily/CDM_lite_FirstRelease_AYW00057*|daily-CDM_lite_FirstRelease_AYW00057|5489|3
daily/CDM_lite_FirstRelease_AYW00067*|daily-CDM_lite_FirstRelease_AYW00067|5489|3
daily/CDM_lite_FirstRelease_AYW00068*|daily-CDM_lite_FirstRelease_AYW00068|5489|2
daily/CDM_lite_FirstRelease_AYW00077*|daily-CDM_lite_FirstRelease_AYW00077|5489|1
daily/CDM_lite_FirstRelease_AYW00086*|daily-CDM_lite_FirstRelease_AYW00086|5489|1
daily/CDM_lite_FirstRelease_AYW00087*|daily-CDM_lite_FirstRelease_AYW00087|5489|2
daily/CDM_lite_FirstRelease_AYW00088*|daily-CDM_lite_FirstRelease_AYW00088|5489|2
daily/CDM_lite_FirstRelease_AYW00090*|daily-CDM_lite_FirstRelease_AYW00090|5489|1
daily/CDM_lite_FirstRelease_BA000041*|daily-CDM_lite_FirstRelease_BA000041|5489|1
daily/CDM_lite_FirstRelease_BB000078*|daily-CDM_lite_FirstRelease_BB000078|5489|1
daily/CDM_lite_FirstRelease_BC000068*|daily-CDM_lite_FirstRelease_BC000068|5489|4
daily/CDM_lite_FirstRelease_BC004612*|daily-CDM_lite_FirstRelease_BC004612|5489|1
daily/CDM_lite_FirstRelease_BC012192*|daily-CDM_lite_FirstRelease_BC012192|5489|1
daily/CDM_lite_FirstRelease_BCM00068*|daily-CDM_lite_FirstRelease_BCM00068|5489|1
daily/CDM_lite_FirstRelease_BDM00078*|daily-CDM_lite_FirstRelease_BDM00078|5489|1
daily/CDM_lite_FirstRelease_BDW00013*|daily-CDM_lite_FirstRelease_BDW00013|5489|1
daily/CDM_lite_FirstRelease_BE000006*|daily-CDM_lite_FirstRelease_BE000006|5489|1
daily/CDM_lite_FirstRelease_BF000078*|daily-CDM_lite_FirstRelease_BF000078|5489|1
daily/CDM_lite_FirstRelease_BF1BI000*|daily-CDM_lite_FirstRelease_BF1BI000|5489|1
daily/CDM_lite_FirstRelease_BF1CE000*|daily-CDM_lite_FirstRelease_BF1CE000|5489|2
daily/CDM_lite_FirstRelease_BF1EG000*|daily-CDM_lite_FirstRelease_BF1EG000|5489|1
daily/CDM_lite_FirstRelease_BF1EX000*|daily-CDM_lite_FirstRelease_BF1EX000|5489|3
daily/CDM_lite_FirstRelease_BF1FP000*|daily-CDM_lite_FirstRelease_BF1FP000|5489|5
daily/CDM_lite_FirstRelease_BF1LI000*|daily-CDM_lite_FirstRelease_BF1LI000|5489|1
daily/CDM_lite_FirstRelease_BF1MG000*|daily-CDM_lite_FirstRelease_BF1MG000|5489|1
daily/CDM_lite_FirstRelease_BF1NP000*|daily-CDM_lite_FirstRelease_BF1NP000|5489|7
daily/CDM_lite_FirstRelease_BF1NS000*|daily-CDM_lite_FirstRelease_BF1NS000|5489|2
daily/CDM_lite_FirstRelease_BF1SE000*|daily-CDM_lite_FirstRelease_BF1SE000|5489|1
daily/CDM_lite_FirstRelease_BF1SS000*|daily-CDM_lite_FirstRelease_BF1SS000|5489|5
daily/CDM_lite_FirstRelease_BFW00012*|daily-CDM_lite_FirstRelease_BFW00012|5489|5
daily/CDM_lite_FirstRelease_BGM00041*|daily-CDM_lite_FirstRelease_BGM00041|5489|10
daily/CDM_lite_FirstRelease_BHM00078*|daily-CDM_lite_FirstRelease_BHM00078|5489|1
daily/CDM_lite_FirstRelease_BKM00014*|daily-CDM_lite_FirstRelease_BKM00014|5489|5
daily/CDM_lite_FirstRelease_BL000085*|daily-CDM_lite_FirstRelease_BL000085|5489|8
daily/CDM_lite_FirstRelease_BLM00085*|daily-CDM_lite_FirstRelease_BLM00085|5489|28
daily/CDM_lite_FirstRelease_BMM00048*|daily-CDM_lite_FirstRelease_BMM00048|5489|5
daily/CDM_lite_FirstRelease_BN000005*|daily-CDM_lite_FirstRelease_BN000005|5489|5
daily/CDM_lite_FirstRelease_BN000065*|daily-CDM_lite_FirstRelease_BN000065|5489|2
daily/CDM_lite_FirstRelease_BNM00065*|daily-CDM_lite_FirstRelease_BNM00065|5489|2
daily/CDM_lite_FirstRelease_BOM00026*|daily-CDM_lite_FirstRelease_BOM00026|5489|34
daily/CDM_lite_FirstRelease_BOM00033*|daily-CDM_lite_FirstRelease_BOM00033|5489|7
daily/CDM_lite_FirstRelease_BP000091*|daily-CDM_lite_FirstRelease_BP000091|5489|2
daily/CDM_lite_FirstRelease_BPW00080*|daily-CDM_lite_FirstRelease_BPW00080|5489|1
daily/CDM_lite_FirstRelease_BR000047*|daily-CDM_lite_FirstRelease_BR000047|5489|1
daily/CDM_lite_FirstRelease_BR000065*|daily-CDM_lite_FirstRelease_BR000065|5489|1
daily/CDM_lite_FirstRelease_BR000082*|daily-CDM_lite_FirstRelease_BR000082|5489|3
daily/CDM_lite_FirstRelease_BR000083*|daily-CDM_lite_FirstRelease_BR000083|5489|2
daily/CDM_lite_FirstRelease_BR000152*|daily-CDM_lite_FirstRelease_BR000152|5489|1
daily/CDM_lite_FirstRelease_BR000249*|daily-CDM_lite_FirstRelease_BR000249|5489|1
daily/CDM_lite_FirstRelease_BR000254*|daily-CDM_lite_FirstRelease_BR000254|5489|1
daily/CDM_lite_FirstRelease_BR000352*|daily-CDM_lite_FirstRelease_BR000352|5489|1
daily/CDM_lite_FirstRelease_BR000747*|daily-CDM_lite_FirstRelease_BR000747|5489|1
daily/CDM_lite_FirstRelease_BR000956*|daily-CDM_lite_FirstRelease_BR000956|5489|1
daily/CDM_lite_FirstRelease_BR001036*|daily-CDM_lite_FirstRelease_BR001036|5489|1
daily/CDM_lite_FirstRelease_BR001065*|daily-CDM_lite_FirstRelease_BR001065|5489|1
daily/CDM_lite_FirstRelease_BR001138*|daily-CDM_lite_FirstRelease_BR001138|5489|1
daily/CDM_lite_FirstRelease_BR001140*|daily-CDM_lite_FirstRelease_BR001140|5489|1
daily/CDM_lite_FirstRelease_BR001248*|daily-CDM_lite_FirstRelease_BR001248|5489|1
daily/CDM_lite_FirstRelease_BR001452*|daily-CDM_lite_FirstRelease_BR001452|5489|1
daily/CDM_lite_FirstRelease_BR001538*|daily-CDM_lite_FirstRelease_BR001538|5489|1
daily/CDM_lite_FirstRelease_BR001543*|daily-CDM_lite_FirstRelease_BR001543|5489|1
daily/CDM_lite_FirstRelease_BR001544*|daily-CDM_lite_FirstRelease_BR001544|5489|1
daily/CDM_lite_FirstRelease_BR001546*|daily-CDM_lite_FirstRelease_BR001546|5489|1
daily/CDM_lite_FirstRelease_BR001548*|daily-CDM_lite_FirstRelease_BR001548|5489|1
daily/CDM_lite_FirstRelease_BR001657*|daily-CDM_lite_FirstRelease_BR001657|5489|1
daily/CDM_lite_FirstRelease_BR001746*|daily-CDM_lite_FirstRelease_BR001746|5489|1
daily/CDM_lite_FirstRelease_BR001748*|daily-CDM_lite_FirstRelease_BR001748|5489|1
daily/CDM_lite_FirstRelease_BR001841*|daily-CDM_lite_FirstRelease_BR001841|5489|1
daily/CDM_lite_FirstRelease_BR001846*|daily-CDM_lite_FirstRelease_BR001846|5489|1
daily/CDM_lite_FirstRelease_BR001941*|daily-CDM_lite_FirstRelease_BR001941|5489|1
daily/CDM_lite_FirstRelease_BR001943*|daily-CDM_lite_FirstRelease_BR001943|5489|2
daily/CDM_lite_FirstRelease_BR001944*|daily-CDM_lite_FirstRelease_BR001944|5489|1
daily/CDM_lite_FirstRelease_BR001946*|daily-CDM_lite_FirstRelease_BR001946|5489|1
daily/CDM_lite_FirstRelease_BR001957*|daily-CDM_lite_FirstRelease_BR001957|5489|1
daily/CDM_lite_FirstRelease_BR002045*|daily-CDM_lite_FirstRelease_BR002045|5489|1
daily/CDM_lite_FirstRelease_BR002047*|daily-CDM_lite_FirstRelease_BR002047|5489|1
daily/CDM_lite_FirstRelease_BR002141*|daily-CDM_lite_FirstRelease_BR002141|5489|1
